batch,cell_id,family,k,n,alpha,m,seeds,certified,certified_frac,solve_s_min,solve_s_med,solve_s_max,cstar_min,cstar_max,eligible_instances,cell_rule_b
calib_a,max2sat_n100_a2,max2sat,2,100,2.0,200,5,5,1.0,0.003,0.005,0.007,1,5,0,fail
calib_a,max2sat_n100_a3,max2sat,2,100,3.0,300,5,5,1.0,0.021,0.255,0.773,12,16,0,fail
calib_a,max2sat_n100_a4,max2sat,2,100,4.0,400,5,5,1.0,3.088,8.056,173.651,24,31,1,fail
calib_a,max2sat_n100_a6,max2sat,2,100,6.0,600,5,1,0.2,752.749,752.749,752.749,50,50,0,fail
calib_a,max2sat_n150_a2,max2sat,2,150,2.0,300,5,5,1.0,0.007,0.009,0.021,6,7,0,fail
calib_a,max2sat_n150_a3,max2sat,2,150,3.0,450,5,4,0.8,2.257,19.752,65.08,19,24,1,pass
calib_a,max2sat_n150_a4,max2sat,2,150,4.0,600,5,0,0.0,,,,,,0,fail
calib_a,max2sat_n150_a6,max2sat,2,150,6.0,900,5,0,0.0,,,,,,0,fail
calib_a,max2sat_n250_a2,max2sat,2,250,2.0,500,5,5,1.0,0.028,0.181,2.611,8,14,0,fail
calib_a,max2sat_n250_a3,max2sat,2,250,3.0,750,5,0,0.0,,,,,,0,fail
calib_a,max2sat_n250_a4,max2sat,2,250,4.0,1000,5,0,0.0,,,,,,0,fail
calib_a,max2sat_n250_a6,max2sat,2,250,6.0,1500,5,0,0.0,,,,,,0,fail
calib_a,max2sat_n400_a2,max2sat,2,400,2.0,800,5,5,1.0,1.118,17.459,42.963,12,18,0,pass
calib_a,max2sat_n400_a3,max2sat,2,400,3.0,1200,5,0,0.0,,,,,,0,fail
calib_a,max2sat_n400_a4,max2sat,2,400,4.0,1600,5,0,0.0,,,,,,0,fail
calib_a,max2sat_n400_a6,max2sat,2,400,6.0,2400,5,0,0.0,,,,,,0,fail
calib_a,max3sat_n100_a4.26,max3sat,3,100,4.26,426,5,5,1.0,0.003,0.007,0.129,0,1,0,fail
